,Country,year,value
378,Malta,2014,68.0
379,Netherlands,2014,52.4
380,Norway,2014,
381,Poland-A,2014,46.4
382,Portugal,2014,47.81
383,Romania,2014,
384,Slovakia,2014,91.0
385,Slovenia,2014,
386,Spain,2014,57.57
387,Sweden,2014,100.0
388,Turkey,2014,
389,United Kingdom,2014,
390,Austria,2015,
391,Belgium-A,2015,53.5
392,Bulgaria-B,2015,58.5
393,Croatia,2015,78.5
394,Cyprus,2015,
395,Czechia,2015,77.5
396,Denmark,2015,77.0
397,Estonia,2015,
398,Finland,2015,
399,France-B,2015,
400,Germany,2015,73.8
401,Greece,2015,
402,Hungary,2015,62.6
403,Ireland,2015,70.0
404,Italy,2015,71.08
405,Latvia,2015,
406,Lithuania,2015,77.5
407,Luxembourg-A,2015,84.1
408,Malta,2015,64.0
409,Netherlands,2015,50.8
410,Norway,2015,
411,Poland-A,2015,
412,Portugal,2015,48.63
413,Romania,2015,
414,Slovakia,2015,99.0
415,Slovenia,2015,
416,Spain,2015,58.55
417,Sweden,2015,98.0
418,Turkey,2015,
419,United Kingdom,2015,
420,Austria,2016,
421,Belgium-A,2016,60.74
422,Bulgaria-B,2016,58.1
423,Croatia,2016,
424,Cyprus,2016,
425,Czechia,2016,70.08
426,Denmark,2016,71.0
427,Estonia,2016,0.0
428,Finland,2016,
429,France-B,2016,
430,Germany,2016,75.8
431,Greece,2016,85.0
432,Hungary,2016,65.7
433,Ireland,2016,70.0
434,Italy,2016,78.16
435,Latvia,2016,
436,Lithuania,2016,65.0
437,Luxembourg-A,2016,86.78
438,Malta,2016,56.0
439,Netherlands,2016,50.0
440,Norway,2016,
441,Poland-A,2016,
442,Portugal,2016,44.45
443,Romania,2016,0.0
444,Slovakia,2016,
445,Slovenia,2016,
446,Spain,2016,58.15
447,Sweden,2016,96.0
448,Turkey,2016,
449,United Kingdom,2016,
450,Austria,2017,
451,Belgium-A,2017,52.2
452,Bulgaria-B,2017,56.4
453,Croatia,2017,77.5
454,Cyprus,2017,
455,Czechia,2017,77.675363
456,Denmark,2017,71.0
457,Estonia,2017,135.0
458,Finland,2017,
459,France-B,2017,
460,Germany,2017,71.6
461,Greece,2017,85.0
462,Hungary,2017,67.9
463,Ireland,2017,70.0
464,Italy,2017,80.95
465,Latvia,2017,
466,Lithuania,2017,58.0
467,Luxembourg-A,2017,94.58333
468,Malta,2017,37.75
469,Netherlands,2017,49.0
470,Norway,2017,102.52
471,Poland-A,2017,
472,Portugal,2017,45.51
473,Romania,2017,
474,Slovakia,2017,100.0
475,Slovenia,2017,0.0
476,Spain,2017,59.29
477,Sweden,2017,95.0
478,Turkey,2017,
479,United Kingdom,2017,
480,Austria,2018,
481,Belgium-A,2018,56.01
482,Bulgaria-B,2018,61.9
483,Croatia,2018,65.0
484,Cyprus,2018,
485,Czechia,2018,76.7
486,Denmark,2018,91.0
487,Estonia,2018,
488,Finland,2018,
489,France-B,2018,
490,Germany,2018,70.3
491,Greece,2018,85.0
492,Hungary,2018,72.9
493,Ireland,2018,70.0
494,Italy,2018,81.3
495,Latvia,2018,
496,Lithuania,2018,60.0
497,Luxembourg-A,2018,76.29
498,Malta,2018,64.0
499,Netherlands,2018,49.3
500,Norway,2018,
501,Poland-A,2018,
502,Portugal,2018,45.68
503,Romania,2018,
504,Slovakia,2018,
505,Slovenia,2018,
506,Spain,2018,59.21
507,Sweden,2018,89.0
508,Turkey,2018,
509,United Kingdom,2018,
