,Country,year,value
273,Croatia,2011,40.0
274,Cyprus,2011,
275,Czechia,2011,69.01
276,Denmark,2011,16.0
277,Estonia,2011,16.0
278,Finland,2011,22.0
279,France,2011,78.8
280,Germany,2011,
281,Greece,2011,
282,Hungary,2011,35.0
283,Ireland,2011,
284,Italy,2011,67.6
285,Latvia,2011,26.0
286,Lithuania,2011,20.0
287,Luxembourg,2011,
288,Malta,2011,
289,Netherlands,2011,29.0
290,Norway,2011,38.0
291,Poland,2011,
292,Portugal,2011,30.1
293,Romania,2011,
294,Slovakia,2011,69.2
295,Slovenia,2011,10.1
296,Spain,2011,
297,Sweden,2011,34.0
298,Turkey,2011,82.3
299,United Kingdom,2011,44.0
300,Austria,2012,54.4
301,Belgium,2012,
302,Bulgaria,2012,37.6
303,Croatia,2012,31.8
304,Cyprus,2012,
305,Czechia,2012,71.6
306,Denmark,2012,17.0
307,Estonia,2012,18.0
308,Finland,2012,15.0
309,France,2012,75.0
310,Germany,2012,
311,Greece,2012,
312,Hungary,2012,48.0
313,Ireland,2012,
314,Italy,2012,75.4
315,Latvia,2012,28.0
316,Lithuania,2012,19.0
317,Luxembourg,2012,
318,Malta,2012,
319,Netherlands,2012,28.7
320,Norway,2012,33.0
321,Poland,2012,
322,Portugal,2012,
323,Romania,2012,
324,Slovakia,2012,73.4
325,Slovenia,2012,79.9
326,Spain,2012,
327,Sweden,2012,41.0
328,Turkey,2012,46.08
329,United Kingdom,2012,90.4
330,Austria,2013,55.96
331,Belgium,2013,
332,Bulgaria,2013,36.9
333,Croatia,2013,67.3
334,Cyprus,2013,
335,Czechia,2013,71.03
336,Denmark,2013,45.0
337,Estonia,2013,20.0
338,Finland,2013,13.0
339,France,2013,64.7
340,Germany,2013,
341,Greece,2013,
342,Hungary,2013,36.0
343,Ireland,2013,
344,Italy,2013,37.3
345,Latvia,2013,27.0
346,Lithuania,2013,17.0
347,Luxembourg,2013,
348,Malta,2013,
349,Netherlands,2013,61.5
350,Norway,2013,35.0
351,Poland,2013,
352,Portugal,2013,89.1
353,Romania,2013,7.19
354,Slovakia,2013,69.6
355,Slovenia,2013,
356,Spain,2013,
357,Sweden,2013,37.0
358,Turkey,2013,75.91
359,United Kingdom,2013,
360,Austria,2014,63.46
361,Belgium,2014,
362,Bulgaria,2014,34.8
363,Croatia,2014,66.2
364,Cyprus,2014,
365,Czechia,2014,69.75
366,Denmark,2014,9.0
367,Estonia,2014,16.0
368,Finland,2014,14.0
369,France,2014,67.0
370,Germany,2014,
371,Greece,2014,
372,Hungary,2014,50.0
373,Ireland,2014,
374,Italy,2014,31.0
375,Latvia,2014,28.0
376,Lithuania,2014,18.0
377,Luxembourg,2014,
378,Malta,2014,
379,Netherlands,2014,71.2
380,Norway,2014,36.0
381,Poland,2014,
382,Portugal,2014,
383,Romania,2014,
384,Slovakia,2014,72.6
385,Slovenia,2014,
386,Spain,2014,
387,Sweden,2014,51.0
388,Turkey,2014,58.87
389,United Kingdom,2014,67.0
390,Austria,2015,51.47
391,Belgium,2015,
392,Bulgaria,2015,41.6
393,Croatia,2015,60.4
394,Cyprus,2015,
395,Czechia,2015,70.37
396,Denmark,2015,
397,Estonia,2015,16.0
398,Finland,2015,23.0
399,France,2015,74.6
400,Germany,2015,
401,Greece,2015,
402,Hungary,2015,50.0
403,Ireland,2015,
404,Italy,2015,25.0
405,Latvia,2015,35.0
406,Lithuania,2015,21.0
407,Luxembourg,2015,
408,Malta,2015,
409,Netherlands,2015,74.0
410,Norway,2015,38.0
411,Poland,2015,
412,Portugal,2015,70.2
413,Romania,2015,
414,Slovakia,2015,63.8
415,Slovenia,2015,
416,Spain,2015,
417,Sweden,2015,41.2
418,Turkey,2015,78.87
419,United Kingdom,2015,74.0
420,Austria,2016,58.69
421,Belgium,2016,
422,Bulgaria,2016,42.3
423,Croatia,2016,78.0
424,Cyprus,2016,
425,Czechia,2016,67.39
426,Denmark,2016,
427,Estonia,2016,19.5
428,Finland,2016,33.0
429,France,2016,65.0
430,Germany,2016,73.0
431,Greece,2016,
432,Hungary,2016,54.2
433,Ireland,2016,
434,Italy,2016,49.0
435,Latvia,2016,22.13
436,Lithuania,2016,17.9
437,Luxembourg,2016,
438,Malta,2016,
439,Netherlands,2016,59.0
440,Norway,2016,43.0
441,Poland,2016,
442,Portugal,2016,88.3
443,Romania,2016,
444,Slovakia,2016,59.5
445,Slovenia,2016,
446,Spain,2016,
447,Sweden,2016,40.0
448,Turkey,2016,71.0
449,United Kingdom,2016,75.0
450,Austria,2017,57.16
451,Belgium,2017,
452,Bulgaria,2017,46.7
453,Croatia,2017,69.4
454,Cyprus,2017,
455,Czechia,2017,64.429774
456,Denmark,2017,
457,Estonia,2017,34.0
458,Finland,2017,18.0
459,France,2017,69.54
460,Germany,2017,72.0
461,Greece,2017,
462,Hungary,2017,55.0
463,Ireland,2017,
464,Italy,2017,51.0
465,Latvia,2017,20.59
466,Lithuania,2017,16.4
467,Luxembourg,2017,
468,Malta,2017,
469,Netherlands,2017,57.7
470,Norway,2017,39.0
471,Poland,2017,
472,Portugal,2017,
473,Romania,2017,
474,Slovakia,2017,54.9
475,Slovenia,2017,
476,Spain,2017,
477,Sweden,2017,12.0
478,Turkey,2017,70.0326
479,United Kingdom,2017,71.0
480,Austria,2018,57.16
481,Belgium,2018,86.0
482,Bulgaria,2018,
483,Croatia,2018,79.7
484,Cyprus,2018,77.28
485,Czechia,2018,62.3
486,Denmark,2018,80.0
487,Estonia,2018,21.0
488,Finland,2018,21.0
489,France,2018,67.8
490,Germany,2018,
491,Greece,2018,
492,Hungary,2018,41.6
493,Ireland,2018,
494,Italy,2018,47.0
495,Latvia,2018,23.6
496,Lithuania,2018,17.5
497,Luxembourg,2018,
498,Malta,2018,
499,Netherlands,2018,54.5
500,Norway,2018,32.0
501,Poland,2018,
502,Portugal,2018,56.8
503,Romania,2018,
504,Slovakia,2018,
505,Slovenia,2018,
506,Spain,2018,
507,Sweden,2018,
508,Turkey,2018,72.21
509,United Kingdom,2018,73.0
