,Country,year,value
379,Netherlands,2014,34.2
380,Norway,2014,
381,Poland-A,2014,53.6
382,Portugal,2014,31.47
383,Romania,2014,
384,Slovakia,2014,61.0
385,Slovenia,2014,
386,Spain,2014,56.92
387,Sweden,2014,119.0
388,Turkey,2014,
389,United Kingdom,2014,
390,Austria,2015,
391,Belgium-A,2015,22.1
392,Bulgaria-B,2015,25.0
393,Croatia,2015,58.7
394,Cyprus,2015,
395,Czechia,2015,38.4
396,Denmark,2015,80.0
397,Estonia,2015,
398,Finland,2015,
399,France-B,2015,
400,Germany,2015,50.2
401,Greece,2015,
402,Hungary,2015,40.0
403,Ireland,2015,140.0
404,Italy,2015,38.91
405,Latvia,2015,
406,Lithuania,2015,46.7
407,Luxembourg-A,2015,
408,Malta,2015,60.0
409,Netherlands,2015,38.7
410,Norway,2015,
411,Poland-A,2015,
412,Portugal,2015,31.61
413,Romania,2015,
414,Slovakia,2015,66.0
415,Slovenia,2015,
416,Spain,2015,57.97
417,Sweden,2015,135.0
418,Turkey,2015,
419,United Kingdom,2015,
420,Austria,2016,
421,Belgium-A,2016,
422,Bulgaria-B,2016,21.6
423,Croatia,2016,58.7
424,Cyprus,2016,
425,Czechia,2016,39.72
426,Denmark,2016,104.0
427,Estonia,2016,15.0
428,Finland,2016,
429,France-B,2016,
430,Germany,2016,
431,Greece,2016,22.5
432,Hungary,2016,
433,Ireland,2016,140.0
434,Italy,2016,38.71
435,Latvia,2016,
436,Lithuania,2016,
437,Luxembourg-A,2016,51.66
438,Malta,2016,77.0
439,Netherlands,2016,
440,Norway,2016,
441,Poland-A,2016,
442,Portugal,2016,35.46
443,Romania,2016,0.0
444,Slovakia,2016,65.0
445,Slovenia,2016,
446,Spain,2016,57.78
447,Sweden,2016,129.0
448,Turkey,2016,
449,United Kingdom,2016,
450,Austria,2017,
451,Belgium-A,2017,
452,Bulgaria-B,2017,23.7
453,Croatia,2017,58.5
454,Cyprus,2017,
455,Czechia,2017,45.3355188
456,Denmark,2017,104.0
457,Estonia,2017,15.0
458,Finland,2017,
459,France-B,2017,
460,Germany,2017,
461,Greece,2017,17.5
462,Hungary,2017,
463,Ireland,2017,140.0
464,Italy,2017,45.72
465,Latvia,2017,
466,Lithuania,2017,
467,Luxembourg-A,2017,54.45378
468,Malta,2017,26.0
469,Netherlands,2017,
470,Norway,2017,91.73
471,Poland-A,2017,
472,Portugal,2017,34.6
473,Romania,2017,
474,Slovakia,2017,
475,Slovenia,2017,
476,Spain,2017,57.41
477,Sweden,2017,89.0
478,Turkey,2017,
479,United Kingdom,2017,
480,Austria,2018,
481,Belgium-A,2018,
482,Bulgaria-B,2018,28.9
483,Croatia,2018,28.0
484,Cyprus,2018,
485,Czechia,2018,
486,Denmark,2018,90.0
487,Estonia,2018,
488,Finland,2018,
489,France-B,2018,
490,Germany,2018,
491,Greece,2018,17.5
492,Hungary,2018,
493,Ireland,2018,140.0
494,Italy,2018,43.82
495,Latvia,2018,
496,Lithuania,2018,
497,Luxembourg-A,2018,47.08
498,Malta,2018,47.0
499,Netherlands,2018,
500,Norway,2018,
501,Poland-A,2018,
502,Portugal,2018,50.0
503,Romania,2018,
504,Slovakia,2018,60.0
505,Slovenia,2018,
506,Spain,2018,58.24
507,Sweden,2018,89.0
508,Turkey,2018,
509,United Kingdom,2018,
