,Country,year,purity,price
144,Slovakia,2006,,
145,Slovenia,2006,20.9,37.5
146,Spain,2006,32.0,62.42
147,Sweden,2006,,113.0
148,Turkey,2006,36.0,14.5
149,United Kingdom,2006,43.5,77.27
150,Austria,2007,9.1,80.0
151,Belgium,2007,,
152,Bulgaria,2007,22.0,
153,Croatia,2007,24.0,30.0
154,Cyprus,2007,,
155,Czechia,2007,17.4,40.2
156,Denmark,2007,22.0,96.3
157,Estonia,2007,,
158,Finland,2007,,
159,France,2007,12.0,
160,Germany,2007,,35.6
161,Greece,2007,19.32,
162,Hungary,2007,,51.3
163,Ireland,2007,,
164,Italy,2007,,50.94
165,Latvia,2007,,138.6
166,Lithuania,2007,,46.21
167,Luxembourg,2007,14.95,
168,Malta,2007,,81.55
169,Netherlands,2007,,30.0
170,Norway,2007,35.0,
171,Poland,2007,,
172,Portugal,2007,25.1,37.57
173,Romania,2007,,
174,Slovakia,2007,,
175,Slovenia,2007,29.6,
176,Spain,2007,32.5,62.69
177,Sweden,2007,,118.52
178,Turkey,2007,56.4,
179,United Kingdom,2007,49.8,70.18
180,Austria,2008,11.3,80.0
181,Belgium,2008,,
182,Bulgaria,2008,31.0,
183,Croatia,2008,23.0,30.0
184,Cyprus,2008,,
185,Czechia,2008,22.6,40.1
186,Denmark,2008,18.0,107.0
187,Estonia,2008,,
188,Finland,2008,,
189,France,2008,10.8,
190,Germany,2008,,36.2
191,Greece,2008,,
192,Hungary,2008,,52.5
193,Ireland,2008,,
194,Italy,2008,,46.5
195,Latvia,2008,,106.7
196,Lithuania,2008,,47.21
197,Luxembourg,2008,14.5,
198,Malta,2008,27.5,130.0
199,Netherlands,2008,,40.0
200,Norway,2008,31.0,
201,Poland,2008,,
202,Portugal,2008,31.9,33.25
203,Romania,2008,43.0,
204,Slovakia,2008,,38.0
205,Slovenia,2008,24.0,40.0
206,Spain,2008,32.5,62.59
207,Sweden,2008,38.0,130.17
208,Turkey,2008,7.0,
209,United Kingdom,2008,42.7,56.65
210,Austria,2009,12.9,
211,Belgium,2009,,
212,Bulgaria,2009,31.4,
213,Croatia,2009,21.5,30.0
214,Cyprus,2009,,
215,Czechia,2009,16.6,48.3
216,Denmark,2009,18.0,95.0
217,Estonia,2009,,
218,Finland,2009,,
219,France,2009,13.5,
220,Germany,2009,,36.9
221,Greece,2009,,
222,Hungary,2009,,43.0
223,Ireland,2009,,
224,Italy,2009,,41.45
225,Latvia,2009,,114.0
226,Lithuania,2009,,52.17
227,Luxembourg,2009,16.84,
228,Malta,2009,35.6,70.0
229,Netherlands,2009,,40.0
230,Norway,2009,25.0,
231,Poland,2009,,
232,Portugal,2009,32.4,36.62
233,Romania,2009,35.92,
234,Slovakia,2009,,35.0
235,Slovenia,2009,24.7,40.0
236,Spain,2009,31.5,61.79
237,Sweden,2009,32.0,135.03
238,Turkey,2009,37.0,
239,United Kingdom,2009,44.4,50.55
240,Austria,2010,12.9,
241,Belgium,2010,,
242,Bulgaria,2010,27.2,
243,Croatia,2010,17.8,50.7
244,Cyprus,2010,,
245,Czechia,2010,24.6,50.58
246,Denmark,2010,22.0,83.5
247,Estonia,2010,,
248,Finland,2010,,
249,France,2010,13.2,
250,Germany,2010,,36.2
251,Greece,2010,,
252,Hungary,2010,,40.7
253,Ireland,2010,,
254,Italy,2010,,41.95
255,Latvia,2010,,132.5
256,Lithuania,2010,,57.63
257,Luxembourg,2010,17.4,
258,Malta,2010,29.7,73.0
259,Netherlands,2010,,41.0
260,Norway,2010,21.0,
261,Poland,2010,,
262,Portugal,2010,27.4,35.32
263,Romania,2010,,
264,Slovakia,2010,,40.0
265,Slovenia,2010,19.0,23.0
266,Spain,2010,31.5,60.71
267,Sweden,2010,26.5,160.1
268,Turkey,2010,57.0,23.5
269,United Kingdom,2010,34.9,46.66
270,Austria,2011,5.8,
271,Belgium,2011,,
272,Bulgaria,2011,13.3,
273,Croatia,2011,8.0,47.0
274,Cyprus,2011,,
275,Czechia,2011,14.0,44.0
276,Denmark,2011,15.0,83.5
277,Estonia,2011,,
278,Finland,2011,,
279,France,2011,7.7,
280,Germany,2011,,42.4
281,Greece,2011,12.8,
282,Hungary,2011,,41.2
283,Ireland,2011,,
284,Italy,2011,,41.95
285,Latvia,2011,,
286,Lithuania,2011,,55.03
287,Luxembourg,2011,10.08,
288,Malta,2011,28.5,55.5
289,Netherlands,2011,,43.0
290,Norway,2011,15.0,
291,Poland,2011,,
292,Portugal,2011,12.8,35.74
293,Romania,2011,,
294,Slovakia,2011,,35.0
295,Slovenia,2011,6.9,
296,Spain,2011,30.5,59.13
297,Sweden,2011,12.5,143.0
298,Turkey,2011,43.57,
299,United Kingdom,2011,17.6,
300,Austria,2012,6.43,
301,Belgium,2012,,
302,Bulgaria,2012,13.7,
303,Croatia,2012,8.7,53.3
304,Cyprus,2012,,
305,Czechia,2012,14.7,43.0
306,Denmark,2012,11.0,83.5
307,Estonia,2012,,
308,Finland,2012,,
309,France,2012,7.0,
310,Germany,2012,,42.9
311,Greece,2012,15.0,
312,Hungary,2012,,38.9
313,Ireland,2012,,150.0
314,Italy,2012,,41.45
315,Latvia,2012,,119.15
316,Lithuania,2012,,63.7
317,Luxembourg,2012,9.6,
318,Malta,2012,20.0,66.0
319,Netherlands,2012,,34.0
320,Norway,2012,13.0,114.0
321,Poland,2012,,
322,Portugal,2012,11.5,28.04
323,Romania,2012,,
324,Slovakia,2012,,
325,Slovenia,2012,8.5,
326,Spain,2012,31.0,58.8
327,Sweden,2012,19.0,181.0
328,Turkey,2012,33.63,
329,United Kingdom,2012,19.5,
330,Austria,2013,7.59,
331,Belgium,2013,,
332,Bulgaria,2013,17.3,
333,Croatia,2013,11.2,53.5
334,Cyprus,2013,,
335,Czechia,2013,20.19,42.5
336,Denmark,2013,19.0,
337,Estonia,2013,,
338,Finland,2013,,
339,France,2013,11.3,
340,Germany,2013,,49.1
341,Greece,2013,,
342,Hungary,2013,,38.3
343,Ireland,2013,,
344,Italy,2013,,41.2
345,Latvia,2013,,121.0
346,Lithuania,2013,,59.1
347,Luxembourg,2013,13.9,
348,Malta,2013,21.0,58.0
349,Netherlands,2013,,34.6
350,Norway,2013,17.0,
351,Poland,2013,,
352,Portugal,2013,12.6,25.64
353,Romania,2013,,
354,Slovakia,2013,,
355,Slovenia,2013,9.0,
356,Spain,2013,28.5,57.31
357,Sweden,2013,21.0,158.0
358,Turkey,2013,41.51,
359,United Kingdom,2013,29.0,
360,Austria,2014,11.89,
361,Belgium,2014,,
362,Bulgaria,2014,26.8,
363,Croatia,2014,14.5,59.1
364,Cyprus,2014,,
365,Czechia,2014,29.31,37.6
366,Denmark,2014,25.0,70.0
367,Estonia,2014,,
368,Finland,2014,,
369,France,2014,14.9,
370,Germany,2014,,43.5
371,Greece,2014,51.7,
372,Hungary,2014,,39.5
373,Ireland,2014,,140.0
374,Italy,2014,,39.13
375,Latvia,2014,,
376,Lithuania,2014,,62.85
377,Luxembourg,2014,13.52,
378,Malta,2014,,48.0
379,Netherlands,2014,,34.2
380,Norway,2014,20.0,
381,Poland,2014,,
382,Portugal,2014,14.0,31.47
383,Romania,2014,,
384,Slovakia,2014,,61.0
385,Slovenia,2014,10.8,
386,Spain,2014,31.0,56.92
387,Sweden,2014,24.7,119.0
388,Turkey,2014,32.92,
389,United Kingdom,2014,36.0,
390,Austria,2015,13.67,
391,Belgium,2015,,
392,Bulgaria,2015,33.7,
393,Croatia,2015,14.8,58.7
394,Cyprus,2015,,
395,Czechia,2015,25.14,38.4
396,Denmark,2015,21.0,80.0
397,Estonia,2015,,
398,Finland,2015,,
399,France,2015,16.0,
400,Germany,2015,,50.2
401,Greece,2015,28.7,
402,Hungary,2015,,40.0
403,Ireland,2015,,140.0
404,Italy,2015,,38.91
405,Latvia,2015,,
406,Lithuania,2015,,46.7
407,Luxembourg,2015,11.93,
408,Malta,2015,20.0,60.0
409,Netherlands,2015,,38.7
410,Norway,2015,19.0,
411,Poland,2015,,
412,Portugal,2015,19.5,31.61
413,Romania,2015,,
414,Slovakia,2015,,66.0
415,Slovenia,2015,13.3,
416,Spain,2015,33.0,57.97
417,Sweden,2015,,135.0
418,Turkey,2015,34.29,
419,United Kingdom,2015,44.0,
420,Austria,2016,13.67,
421,Belgium,2016,21.25,
422,Bulgaria,2016,,
423,Croatia,2016,14.7,58.7
424,Cyprus,2016,,
425,Czechia,2016,,39.72
426,Denmark,2016,19.0,104.0
427,Estonia,2016,0.0,15.0
428,Finland,2016,40.0,
429,France,2016,14.6,
430,Germany,2016,,
431,Greece,2016,30.3,22.5
432,Hungary,2016,21.0,
433,Ireland,2016,,140.0
434,Italy,2016,,38.71
435,Latvia,2016,18.08,
436,Lithuania,2016,,
437,Luxembourg,2016,11.045,
438,Malta,2016,,77.0
439,Netherlands,2016,41.2,
440,Norway,2016,19.0,
441,Poland,2016,,
442,Portugal,2016,15.5,35.46
443,Romania,2016,32.41,0.0
444,Slovakia,2016,,65.0
445,Slovenia,2016,11.9,
446,Spain,2016,31.5,57.78
447,Sweden,2016,24.0,129.0
448,Turkey,2016,27.37,
449,United Kingdom,2016,43.0,
450,Austria,2017,15.02,
451,Belgium,2017,27.3,
452,Bulgaria,2017,,
453,Croatia,2017,21.1,58.5
454,Cyprus,2017,,
455,Czechia,2017,,45.3355188
456,Denmark,2017,11.5,104.0
457,Estonia,2017,32.0,15.0
458,Finland,2017,31.0,
459,France,2017,16.45,
460,Germany,2017,,
461,Greece,2017,18.3,17.5
462,Hungary,2017,28.0,
463,Ireland,2017,,140.0
464,Italy,2017,,45.72
465,Latvia,2017,16.88,
466,Lithuania,2017,,
467,Luxembourg,2017,12.1,
468,Malta,2017,,26.0
469,Netherlands,2017,51.3,
470,Norway,2017,15.0,91.73
471,Poland,2017,,
472,Portugal,2017,15.2,34.6
473,Romania,2017,,
474,Slovakia,2017,,
475,Slovenia,2017,11.8,
476,Spain,2017,31.5,57.41
477,Sweden,2017,,89.0
478,Turkey,2017,27.494,
479,United Kingdom,2017,37.5,
480,Austria,2018,15.02,
481,Belgium,2018,28.87,
482,Bulgaria,2018,,
483,Croatia,2018,20.5,28.0
484,Cyprus,2018,,
485,Czechia,2018,,
486,Denmark,2018,20.0,90.0
487,Estonia,2018,42.4,
488,Finland,2018,,
489,France,2018,16.57,
490,Germany,2018,,
491,Greece,2018,26.4,17.5
492,Hungary,2018,28.7,
493,Ireland,2018,,140.0
494,Italy,2018,,43.82
495,Latvia,2018,29.6,
496,Lithuania,2018,,
497,Luxembourg,2018,13.4,
498,Malta,2018,,47.0
499,Netherlands,2018,48.3,
500,Norway,2018,15.0,
501,Poland,2018,,
502,Portugal,2018,18.1,50.0
503,Romania,2018,19.47,
504,Slovakia,2018,,60.0
505,Slovenia,2018,25.2,
506,Spain,2018,30.0,58.24
507,Sweden,2018,,89.0
508,Turkey,2018,22.75,
509,United Kingdom,2018,46.0,
