,Country,year,value
235,Slovenia,2009,34.7
236,Spain,2009,49.0
237,Sweden,2009,29.0
238,Turkey,2009,36.0
239,United Kingdom,2009,20.3
240,Austria,2010,27.3
241,Belgium,2010,55.1
242,Bulgaria,2010,27.2
243,Croatia,2010,28.8
244,Cyprus,2010,
245,Czechia,2010,27.9
246,Denmark,2010,24.0
247,Estonia,2010,36.0
248,Finland,2010,29.0
249,France,2010,45.8
250,Germany,2010,
251,Greece,2010,
252,Hungary,2010,22.0
253,Ireland,2010,
254,Italy,2010,46.0
255,Latvia,2010,36.0
256,Lithuania,2010,37.0
257,Luxembourg,2010,47.9
258,Malta,2010,29.5
259,Netherlands,2010,52.3
260,Norway,2010,37.0
261,Poland,2010,
262,Portugal,2010,38.9
263,Romania,2010,
264,Slovakia,2010,48.3
265,Slovenia,2010,29.2
266,Spain,2010,45.5
267,Sweden,2010,31.5
268,Turkey,2010,53.0
269,United Kingdom,2010,23.8
270,Austria,2011,27.52
271,Belgium,2011,56.1
272,Bulgaria,2011,21.9
273,Croatia,2011,27.0
274,Cyprus,2011,
275,Czechia,2011,45.04
276,Denmark,2011,22.0
277,Estonia,2011,33.0
278,Finland,2011,30.0
279,France,2011,45.0
280,Germany,2011,
281,Greece,2011,61.1
282,Hungary,2011,50.0
283,Ireland,2011,
284,Italy,2011,47.0
285,Latvia,2011,29.0
286,Lithuania,2011,26.0
287,Luxembourg,2011,46.74
288,Malta,2011,35.5
289,Netherlands,2011,49.2
290,Norway,2011,31.0
291,Poland,2011,
292,Portugal,2011,33.7
293,Romania,2011,51.86
294,Slovakia,2011,46.74
295,Slovenia,2011,31.6
296,Spain,2011,42.0
297,Sweden,2011,29.0
298,Turkey,2011,58.7
299,United Kingdom,2011,26.2
300,Austria,2012,28.07
301,Belgium,2012,59.16
302,Bulgaria,2012,24.8
303,Croatia,2012,29.6
304,Cyprus,2012,
305,Czechia,2012,36.9
306,Denmark,2012,24.0
307,Estonia,2012,46.0
308,Finland,2012,32.0
309,France,2012,49.0
310,Germany,2012,
311,Greece,2012,59.0
312,Hungary,2012,41.0
313,Ireland,2012,
314,Italy,2012,50.2
315,Latvia,2012,42.0
316,Lithuania,2012,38.0
317,Luxembourg,2012,44.45
318,Malta,2012,15.5
319,Netherlands,2012,58.3
320,Norway,2012,33.0
321,Poland,2012,
322,Portugal,2012,32.8
323,Romania,2012,36.07
324,Slovakia,2012,35.9
325,Slovenia,2012,43.1
326,Spain,2012,42.5
327,Sweden,2012,34.0
328,Turkey,2012,57.65
329,United Kingdom,2012,36.8
330,Austria,2013,26.05
331,Belgium,2013,57.61
332,Bulgaria,2013,30.5
333,Croatia,2013,34.8
334,Cyprus,2013,
335,Czechia,2013,33.02
336,Denmark,2013,29.0
337,Estonia,2013,41.0
338,Finland,2013,42.0
339,France,2013,55.7
340,Germany,2013,
341,Greece,2013,75.0
342,Hungary,2013,44.0
343,Ireland,2013,36.1
344,Italy,2013,59.8
345,Latvia,2013,30.0
346,Lithuania,2013,43.0
347,Luxembourg,2013,41.0
348,Malta,2013,20.0
349,Netherlands,2013,61.3
350,Norway,2013,34.0
351,Poland,2013,
352,Portugal,2013,37.3
353,Romania,2013,41.23
354,Slovakia,2013,35.4
355,Slovenia,2013,51.4
356,Spain,2013,39.0
357,Sweden,2013,31.0
358,Turkey,2013,59.05
359,United Kingdom,2013,38.0
360,Austria,2014,31.6
361,Belgium,2014,64.2
362,Bulgaria,2014,35.8
363,Croatia,2014,39.1
364,Cyprus,2014,
365,Czechia,2014,25.9
366,Denmark,2014,30.0
367,Estonia,2014,39.0
368,Finland,2014,27.0
369,France,2014,51.9
370,Germany,2014,
371,Greece,2014,51.2
372,Hungary,2014,40.0
373,Ireland,2014,41.9
374,Italy,2014,55.0
375,Latvia,2014,37.0
376,Lithuania,2014,38.0
377,Luxembourg,2014,38.1
378,Malta,2014,
379,Netherlands,2014,59.1
380,Norway,2014,33.0
381,Poland,2014,
382,Portugal,2014,40.1
383,Romania,2014,33.45
384,Slovakia,2014,39.0
385,Slovenia,2014,49.8
386,Spain,2014,41.0
387,Sweden,2014,43.0
388,Turkey,2014,56.84
389,United Kingdom,2014,36.0
390,Austria,2015,33.37
391,Belgium,2015,78.2
392,Bulgaria,2015,47.7
393,Croatia,2015,47.3
394,Cyprus,2015,
395,Czechia,2015,39.1
396,Denmark,2015,37.0
397,Estonia,2015,35.0
398,Finland,2015,33.0
399,France,2015,55.2
400,Germany,2015,
401,Greece,2015,72.0
402,Hungary,2015,50.0
403,Ireland,2015,43.2
404,Italy,2015,50.0
405,Latvia,2015,40.0
406,Lithuania,2015,44.0
407,Luxembourg,2015,41.63
408,Malta,2015,15.0
409,Netherlands,2015,64.0
410,Norway,2015,32.0
411,Poland,2015,
412,Portugal,2015,34.6
413,Romania,2015,34.3
414,Slovakia,2015,51.5
415,Slovenia,2015,54.6
416,Spain,2015,42.0
417,Sweden,2015,39.3
418,Turkey,2015,59.27
419,United Kingdom,2015,44.0
420,Austria,2016,45.93
421,Belgium,2016,68.86
422,Bulgaria,2016,47.5
423,Croatia,2016,52.8
424,Cyprus,2016,
425,Czechia,2016,
426,Denmark,2016,55.0
427,Estonia,2016,46.4
428,Finland,2016,49.0
429,France,2016,58.3
430,Germany,2016,74.1
431,Greece,2016,75.0
432,Hungary,2016,53.4
433,Ireland,2016,
434,Italy,2016,66.0
435,Latvia,2016,51.64
436,Lithuania,2016,46.1
437,Luxembourg,2016,44.435
438,Malta,2016,
439,Netherlands,2016,66.8
440,Norway,2016,47.0
441,Poland,2016,
442,Portugal,2016,40.3
443,Romania,2016,40.69
444,Slovakia,2016,49.9
445,Slovenia,2016,69.7
446,Spain,2016,39.5
447,Sweden,2016,52.0
448,Turkey,2016,65.56
449,United Kingdom,2016,54.0
450,Austria,2017,51.37
451,Belgium,2017,74.3
452,Bulgaria,2017,53.7
453,Croatia,2017,59.4
454,Cyprus,2017,43.29
455,Czechia,2017,49.088919
456,Denmark,2017,60.4
457,Estonia,2017,54.0
458,Finland,2017,52.0
459,France,2017,62.96
460,Germany,2017,78.4
461,Greece,2017,52.7
462,Hungary,2017,56.0
463,Ireland,2017,
464,Italy,2017,68.0
465,Latvia,2017,52.52
466,Lithuania,2017,42.7
467,Luxembourg,2017,48.4
468,Malta,2017,
469,Netherlands,2017,68.3
470,Norway,2017,53.0
471,Poland,2017,
472,Portugal,2017,43.9
473,Romania,2017,34.74
474,Slovakia,2017,65.6
475,Slovenia,2017,69.7
476,Spain,2017,43.5
477,Sweden,2017,58.0
478,Turkey,2017,58.229
479,United Kingdom,2017,60.0
480,Austria,2018,51.37
481,Belgium,2018,72.25
482,Bulgaria,2018,51.4
483,Croatia,2018,60.0
484,Cyprus,2018,63.65
485,Czechia,2018,32.8
486,Denmark,2018,61.0
487,Estonia,2018,52.0
488,Finland,2018,55.0
489,France,2018,66.6
490,Germany,2018,77.0
491,Greece,2018,67.1
492,Hungary,2018,57.5
493,Ireland,2018,
494,Italy,2018,68.0
495,Latvia,2018,54.59
496,Lithuania,2018,44.1
497,Luxembourg,2018,52.7
498,Malta,2018,
499,Netherlands,2018,65.4
500,Norway,2018,61.0
501,Poland,2018,
502,Portugal,2018,50.1
503,Romania,2018,39.3
504,Slovakia,2018,55.4
505,Slovenia,2018,59.1
506,Spain,2018,43.5
507,Sweden,2018,57.0
508,Turkey,2018,62.55
509,United Kingdom,2018,63.0
