,Country,year,value
171,Poland,2007,
172,Portugal,2007,25.1
173,Romania,2007,
174,Slovakia,2007,
175,Slovenia,2007,29.6
176,Spain,2007,32.5
177,Sweden,2007,
178,Turkey,2007,56.4
179,United Kingdom,2007,49.8
180,Austria,2008,11.3
181,Belgium,2008,
182,Bulgaria,2008,31.0
183,Croatia,2008,23.0
184,Cyprus,2008,
185,Czechia,2008,22.6
186,Denmark,2008,18.0
187,Estonia,2008,
188,Finland,2008,
189,France,2008,10.8
190,Germany,2008,
191,Greece,2008,
192,Hungary,2008,
193,Ireland,2008,
194,Italy,2008,
195,Latvia,2008,
196,Lithuania,2008,
197,Luxembourg,2008,14.5
198,Malta,2008,27.5
199,Netherlands,2008,
200,Norway,2008,31.0
201,Poland,2008,
202,Portugal,2008,31.9
203,Romania,2008,43.0
204,Slovakia,2008,
205,Slovenia,2008,24.0
206,Spain,2008,32.5
207,Sweden,2008,38.0
208,Turkey,2008,7.0
209,United Kingdom,2008,42.7
210,Austria,2009,12.9
211,Belgium,2009,
212,Bulgaria,2009,31.4
213,Croatia,2009,21.5
214,Cyprus,2009,
215,Czechia,2009,16.6
216,Denmark,2009,18.0
217,Estonia,2009,
218,Finland,2009,
219,France,2009,13.5
220,Germany,2009,
221,Greece,2009,
222,Hungary,2009,
223,Ireland,2009,
224,Italy,2009,
225,Latvia,2009,
226,Lithuania,2009,
227,Luxembourg,2009,16.84
228,Malta,2009,35.6
229,Netherlands,2009,
230,Norway,2009,25.0
231,Poland,2009,
232,Portugal,2009,32.4
233,Romania,2009,35.92
234,Slovakia,2009,
235,Slovenia,2009,24.7
236,Spain,2009,31.5
237,Sweden,2009,32.0
238,Turkey,2009,37.0
239,United Kingdom,2009,44.4
240,Austria,2010,12.9
241,Belgium,2010,
242,Bulgaria,2010,27.2
243,Croatia,2010,17.8
244,Cyprus,2010,
245,Czechia,2010,24.6
246,Denmark,2010,22.0
247,Estonia,2010,
248,Finland,2010,
249,France,2010,13.2
250,Germany,2010,
251,Greece,2010,
252,Hungary,2010,
253,Ireland,2010,
254,Italy,2010,
255,Latvia,2010,
256,Lithuania,2010,
257,Luxembourg,2010,17.4
258,Malta,2010,29.7
259,Netherlands,2010,
260,Norway,2010,21.0
261,Poland,2010,
262,Portugal,2010,27.4
263,Romania,2010,
264,Slovakia,2010,
265,Slovenia,2010,19.0
266,Spain,2010,31.5
267,Sweden,2010,26.5
268,Turkey,2010,57.0
269,United Kingdom,2010,34.9
270,Austria,2011,5.8
271,Belgium,2011,
272,Bulgaria,2011,13.3
273,Croatia,2011,8.0
274,Cyprus,2011,
275,Czechia,2011,14.0
276,Denmark,2011,15.0
277,Estonia,2011,
278,Finland,2011,
279,France,2011,7.7
280,Germany,2011,
281,Greece,2011,12.8
282,Hungary,2011,
283,Ireland,2011,
284,Italy,2011,
285,Latvia,2011,
286,Lithuania,2011,
287,Luxembourg,2011,10.08
288,Malta,2011,28.5
289,Netherlands,2011,
290,Norway,2011,15.0
291,Poland,2011,
292,Portugal,2011,12.8
293,Romania,2011,
294,Slovakia,2011,
295,Slovenia,2011,6.9
296,Spain,2011,30.5
297,Sweden,2011,12.5
298,Turkey,2011,43.57
299,United Kingdom,2011,17.6
300,Austria,2012,6.43
301,Belgium,2012,
302,Bulgaria,2012,13.7
303,Croatia,2012,8.7
304,Cyprus,2012,
305,Czechia,2012,14.7
306,Denmark,2012,11.0
307,Estonia,2012,
308,Finland,2012,
309,France,2012,7.0
310,Germany,2012,
311,Greece,2012,15.0
312,Hungary,2012,
313,Ireland,2012,
314,Italy,2012,
315,Latvia,2012,
316,Lithuania,2012,
317,Luxembourg,2012,9.6
318,Malta,2012,20.0
319,Netherlands,2012,
320,Norway,2012,13.0
321,Poland,2012,
322,Portugal,2012,11.5
323,Romania,2012,
324,Slovakia,2012,
325,Slovenia,2012,8.5
326,Spain,2012,31.0
327,Sweden,2012,19.0
328,Turkey,2012,33.63
329,United Kingdom,2012,19.5
330,Austria,2013,7.59
331,Belgium,2013,
332,Bulgaria,2013,17.3
333,Croatia,2013,11.2
334,Cyprus,2013,
335,Czechia,2013,20.19
336,Denmark,2013,19.0
337,Estonia,2013,
338,Finland,2013,
339,France,2013,11.3
340,Germany,2013,
341,Greece,2013,
342,Hungary,2013,
343,Ireland,2013,
344,Italy,2013,
345,Latvia,2013,
346,Lithuania,2013,
347,Luxembourg,2013,13.9
348,Malta,2013,21.0
349,Netherlands,2013,
350,Norway,2013,17.0
351,Poland,2013,
352,Portugal,2013,12.6
353,Romania,2013,
354,Slovakia,2013,
355,Slovenia,2013,9.0
356,Spain,2013,28.5
357,Sweden,2013,21.0
358,Turkey,2013,41.51
359,United Kingdom,2013,29.0
360,Austria,2014,11.89
361,Belgium,2014,
362,Bulgaria,2014,26.8
363,Croatia,2014,14.5
364,Cyprus,2014,
365,Czechia,2014,29.31
366,Denmark,2014,25.0
367,Estonia,2014,
368,Finland,2014,
369,France,2014,14.9
370,Germany,2014,
371,Greece,2014,51.7
372,Hungary,2014,
373,Ireland,2014,
374,Italy,2014,
375,Latvia,2014,
376,Lithuania,2014,
377,Luxembourg,2014,13.52
378,Malta,2014,
379,Netherlands,2014,
380,Norway,2014,20.0
381,Poland,2014,
382,Portugal,2014,14.0
383,Romania,2014,
384,Slovakia,2014,
385,Slovenia,2014,10.8
386,Spain,2014,31.0
387,Sweden,2014,24.7
388,Turkey,2014,32.92
389,United Kingdom,2014,36.0
390,Austria,2015,13.67
391,Belgium,2015,
392,Bulgaria,2015,33.7
393,Croatia,2015,14.8
394,Cyprus,2015,
395,Czechia,2015,25.14
396,Denmark,2015,21.0
397,Estonia,2015,
398,Finland,2015,
399,France,2015,16.0
400,Germany,2015,
401,Greece,2015,28.7
402,Hungary,2015,
403,Ireland,2015,
404,Italy,2015,
405,Latvia,2015,
406,Lithuania,2015,
407,Luxembourg,2015,11.93
408,Malta,2015,20.0
409,Netherlands,2015,
410,Norway,2015,19.0
411,Poland,2015,
412,Portugal,2015,19.5
413,Romania,2015,
414,Slovakia,2015,
415,Slovenia,2015,13.3
416,Spain,2015,33.0
417,Sweden,2015,
418,Turkey,2015,34.29
419,United Kingdom,2015,44.0
420,Austria,2016,13.67
421,Belgium,2016,21.25
422,Bulgaria,2016,
423,Croatia,2016,14.7
424,Cyprus,2016,
425,Czechia,2016,
426,Denmark,2016,19.0
427,Estonia,2016,0.0
428,Finland,2016,40.0
429,France,2016,14.6
430,Germany,2016,
431,Greece,2016,30.3
432,Hungary,2016,21.0
433,Ireland,2016,
434,Italy,2016,
435,Latvia,2016,18.08
436,Lithuania,2016,
437,Luxembourg,2016,11.045
438,Malta,2016,
439,Netherlands,2016,41.2
440,Norway,2016,19.0
441,Poland,2016,
442,Portugal,2016,15.5
443,Romania,2016,32.41
444,Slovakia,2016,
445,Slovenia,2016,11.9
446,Spain,2016,31.5
447,Sweden,2016,24.0
448,Turkey,2016,27.37
449,United Kingdom,2016,43.0
450,Austria,2017,15.02
451,Belgium,2017,27.3
452,Bulgaria,2017,
453,Croatia,2017,21.1
454,Cyprus,2017,
455,Czechia,2017,
456,Denmark,2017,11.5
457,Estonia,2017,32.0
458,Finland,2017,31.0
459,France,2017,16.45
460,Germany,2017,
461,Greece,2017,18.3
462,Hungary,2017,28.0
463,Ireland,2017,
464,Italy,2017,
465,Latvia,2017,16.88
466,Lithuania,2017,
467,Luxembourg,2017,12.1
468,Malta,2017,
469,Netherlands,2017,51.3
470,Norway,2017,15.0
471,Poland,2017,
472,Portugal,2017,15.2
473,Romania,2017,
474,Slovakia,2017,
475,Slovenia,2017,11.8
476,Spain,2017,31.5
477,Sweden,2017,
478,Turkey,2017,27.494
479,United Kingdom,2017,37.5
480,Austria,2018,15.02
481,Belgium,2018,28.87
482,Bulgaria,2018,
483,Croatia,2018,20.5
484,Cyprus,2018,
485,Czechia,2018,
486,Denmark,2018,20.0
487,Estonia,2018,42.4
488,Finland,2018,
489,France,2018,16.57
490,Germany,2018,
491,Greece,2018,26.4
492,Hungary,2018,28.7
493,Ireland,2018,
494,Italy,2018,
495,Latvia,2018,29.6
496,Lithuania,2018,
497,Luxembourg,2018,13.4
498,Malta,2018,
499,Netherlands,2018,48.3
500,Norway,2018,15.0
501,Poland,2018,
502,Portugal,2018,18.1
503,Romania,2018,19.47
504,Slovakia,2018,
505,Slovenia,2018,25.2
506,Spain,2018,30.0
507,Sweden,2018,
508,Turkey,2018,22.75
509,United Kingdom,2018,46.0
