,Country,year,purity,price
198,Malta,2008,35.0,70.0
199,Netherlands,2008,55.4,50.0
200,Norway,2008,37.0,
201,Poland,2008,43.76,
202,Portugal,2008,48.4,45.56
203,Romania,2008,62.0,
204,Slovakia,2008,36.8,83.5
205,Slovenia,2008,28.8,69.0
206,Spain,2008,49.5,60.03
207,Sweden,2008,39.5,91.71
208,Turkey,2008,46.0,
209,United Kingdom,2008,28.8,50.35
210,Austria,2009,27.6,
211,Belgium,2009,51.3,
212,Bulgaria,2009,24.0,
213,Croatia,2009,22.7,50.0
214,Cyprus,2009,,
215,Czechia,2009,33.1,72.7
216,Denmark,2009,18.0,
217,Estonia,2009,38.0,92.1
218,Finland,2009,35.0,
219,France,2009,29.0,
220,Germany,2009,,62.4
221,Greece,2009,,
222,Hungary,2009,23.0,50.0
223,Ireland,2009,11.8,
224,Italy,2009,46.3,71.25
225,Latvia,2009,26.0,
226,Lithuania,2009,37.0,61.16
227,Luxembourg,2009,42.46,
228,Malta,2009,19.8,80.0
229,Netherlands,2009,48.7,50.0
230,Norway,2009,25.0,
231,Poland,2009,,
232,Portugal,2009,38.7,47.44
233,Romania,2009,33.75,
234,Slovakia,2009,30.1,80.0
235,Slovenia,2009,34.7,70.0
236,Spain,2009,49.0,59.64
237,Sweden,2009,29.0,82.97
238,Turkey,2009,36.0,
239,United Kingdom,2009,20.3,44.93
240,Austria,2010,27.3,
241,Belgium,2010,55.1,
242,Bulgaria,2010,27.2,
243,Croatia,2010,28.8,77.6
244,Cyprus,2010,,
245,Czechia,2010,27.9,79.08
246,Denmark,2010,24.0,65.8
247,Estonia,2010,36.0,
248,Finland,2010,29.0,
249,France,2010,45.8,
250,Germany,2010,,65.6
251,Greece,2010,,
252,Hungary,2010,22.0,51.7
253,Ireland,2010,,
254,Italy,2010,46.0,69.16
255,Latvia,2010,36.0,
256,Lithuania,2010,37.0,59.37
257,Luxembourg,2010,47.9,
258,Malta,2010,29.5,80.0
259,Netherlands,2010,52.3,45.0
260,Norway,2010,37.0,
261,Poland,2010,,
262,Portugal,2010,38.9,46.0
263,Romania,2010,,
264,Slovakia,2010,48.3,51.0
265,Slovenia,2010,29.2,65.0
266,Spain,2010,45.5,59.98
267,Sweden,2010,31.5,94.8
268,Turkey,2010,53.0,59.0
269,United Kingdom,2010,23.8,46.66
270,Austria,2011,27.52,
271,Belgium,2011,56.1,
272,Bulgaria,2011,21.9,
273,Croatia,2011,27.0,77.0
274,Cyprus,2011,,
275,Czechia,2011,45.04,89.8
276,Denmark,2011,22.0,65.8
277,Estonia,2011,33.0,
278,Finland,2011,30.0,
279,France,2011,45.0,
280,Germany,2011,,65.7
281,Greece,2011,61.1,
282,Hungary,2011,50.0,55.9
283,Ireland,2011,,
284,Italy,2011,47.0,67.83
285,Latvia,2011,29.0,
286,Lithuania,2011,26.0,60.24
287,Luxembourg,2011,46.74,
288,Malta,2011,35.5,63.78
289,Netherlands,2011,49.2,52.0
290,Norway,2011,31.0,
291,Poland,2011,,
292,Portugal,2011,33.7,50.07
293,Romania,2011,51.86,
294,Slovakia,2011,46.74,80.0
295,Slovenia,2011,31.6,
296,Spain,2011,42.0,58.92
297,Sweden,2011,29.0,98.0
298,Turkey,2011,58.7,
299,United Kingdom,2011,26.2,
300,Austria,2012,28.07,
301,Belgium,2012,59.16,
302,Bulgaria,2012,24.8,
303,Croatia,2012,29.6,79.9
304,Cyprus,2012,,
305,Czechia,2012,36.9,69.7
306,Denmark,2012,24.0,65.8
307,Estonia,2012,46.0,
308,Finland,2012,32.0,
309,France,2012,49.0,
310,Germany,2012,,64.9
311,Greece,2012,59.0,
312,Hungary,2012,41.0,52.3
313,Ireland,2012,,70.0
314,Italy,2012,50.2,69.91
315,Latvia,2012,42.0,
316,Lithuania,2012,38.0,61.4
317,Luxembourg,2012,44.45,
318,Malta,2012,15.5,79.0
319,Netherlands,2012,58.3,54.0
320,Norway,2012,33.0,95.0
321,Poland,2012,,
322,Portugal,2012,32.8,48.01
323,Romania,2012,36.07,
324,Slovakia,2012,35.9,
325,Slovenia,2012,43.1,
326,Spain,2012,42.5,58.95
327,Sweden,2012,34.0,105.0
328,Turkey,2012,57.65,
329,United Kingdom,2012,36.8,
330,Austria,2013,26.05,
331,Belgium,2013,57.61,
332,Bulgaria,2013,30.5,
333,Croatia,2013,34.8,80.5
334,Cyprus,2013,,
335,Czechia,2013,33.02,62.1
336,Denmark,2013,29.0,
337,Estonia,2013,41.0,
338,Finland,2013,42.0,
339,France,2013,55.7,
340,Germany,2013,,68.7
341,Greece,2013,75.0,
342,Hungary,2013,44.0,56.7
343,Ireland,2013,36.1,
344,Italy,2013,59.8,71.37
345,Latvia,2013,30.0,
346,Lithuania,2013,43.0,63.7
347,Luxembourg,2013,41.0,
348,Malta,2013,20.0,50.0
349,Netherlands,2013,61.3,52.4
350,Norway,2013,34.0,
351,Poland,2013,,
352,Portugal,2013,37.3,47.0
353,Romania,2013,41.23,
354,Slovakia,2013,35.4,
355,Slovenia,2013,51.4,
356,Spain,2013,39.0,57.45
357,Sweden,2013,31.0,103.0
358,Turkey,2013,59.05,
359,United Kingdom,2013,38.0,
360,Austria,2014,31.6,
361,Belgium,2014,64.2,
362,Bulgaria,2014,35.8,
363,Croatia,2014,39.1,78.9
364,Cyprus,2014,,
365,Czechia,2014,25.9,72.0
366,Denmark,2014,30.0,78.0
367,Estonia,2014,39.0,
368,Finland,2014,27.0,
369,France,2014,51.9,
370,Germany,2014,,76.1
371,Greece,2014,51.2,
372,Hungary,2014,40.0,56.7
373,Ireland,2014,41.9,70.0
374,Italy,2014,55.0,71.11
375,Latvia,2014,37.0,
376,Lithuania,2014,38.0,62.85
377,Luxembourg,2014,38.1,
378,Malta,2014,,68.0
379,Netherlands,2014,59.1,52.4
380,Norway,2014,33.0,
381,Poland,2014,,
382,Portugal,2014,40.1,47.81
383,Romania,2014,33.45,
384,Slovakia,2014,39.0,91.0
385,Slovenia,2014,49.8,
386,Spain,2014,41.0,57.57
387,Sweden,2014,43.0,100.0
388,Turkey,2014,56.84,
389,United Kingdom,2014,36.0,
390,Austria,2015,33.37,
391,Belgium,2015,78.2,
392,Bulgaria,2015,47.7,
393,Croatia,2015,47.3,78.5
394,Cyprus,2015,,
395,Czechia,2015,39.1,77.5
396,Denmark,2015,37.0,77.0
397,Estonia,2015,35.0,
398,Finland,2015,33.0,
399,France,2015,55.2,
400,Germany,2015,,73.8
401,Greece,2015,72.0,
402,Hungary,2015,50.0,62.6
403,Ireland,2015,43.2,70.0
404,Italy,2015,50.0,71.08
405,Latvia,2015,40.0,
406,Lithuania,2015,44.0,77.5
407,Luxembourg,2015,41.63,
408,Malta,2015,15.0,64.0
409,Netherlands,2015,64.0,50.8
410,Norway,2015,32.0,
411,Poland,2015,,
412,Portugal,2015,34.6,48.63
413,Romania,2015,34.3,
414,Slovakia,2015,51.5,99.0
415,Slovenia,2015,54.6,
416,Spain,2015,42.0,58.55
417,Sweden,2015,39.3,98.0
418,Turkey,2015,59.27,
419,United Kingdom,2015,44.0,
420,Austria,2016,45.93,
421,Belgium,2016,68.86,
422,Bulgaria,2016,47.5,
423,Croatia,2016,52.8,
424,Cyprus,2016,,
425,Czechia,2016,,70.08
426,Denmark,2016,55.0,71.0
427,Estonia,2016,46.4,0.0
428,Finland,2016,49.0,
429,France,2016,58.3,
430,Germany,2016,74.1,75.8
431,Greece,2016,75.0,85.0
432,Hungary,2016,53.4,65.7
433,Ireland,2016,,70.0
434,Italy,2016,66.0,78.16
435,Latvia,2016,51.64,
436,Lithuania,2016,46.1,65.0
437,Luxembourg,2016,44.435,
438,Malta,2016,,56.0
439,Netherlands,2016,66.8,50.0
440,Norway,2016,47.0,
441,Poland,2016,,
442,Portugal,2016,40.3,44.45
443,Romania,2016,40.69,0.0
444,Slovakia,2016,49.9,
445,Slovenia,2016,69.7,
446,Spain,2016,39.5,58.15
447,Sweden,2016,52.0,96.0
448,Turkey,2016,65.56,
449,United Kingdom,2016,54.0,
450,Austria,2017,51.37,
451,Belgium,2017,74.3,
452,Bulgaria,2017,53.7,
453,Croatia,2017,59.4,77.5
454,Cyprus,2017,43.29,
455,Czechia,2017,49.088919,77.675363
456,Denmark,2017,60.4,71.0
457,Estonia,2017,54.0,135.0
458,Finland,2017,52.0,
459,France,2017,62.96,
460,Germany,2017,78.4,71.6
461,Greece,2017,52.7,85.0
462,Hungary,2017,56.0,67.9
463,Ireland,2017,,70.0
464,Italy,2017,68.0,80.95
465,Latvia,2017,52.52,
466,Lithuania,2017,42.7,58.0
467,Luxembourg,2017,48.4,
468,Malta,2017,,37.75
469,Netherlands,2017,68.3,49.0
470,Norway,2017,53.0,102.52
471,Poland,2017,,
472,Portugal,2017,43.9,45.51
473,Romania,2017,34.74,
474,Slovakia,2017,65.6,100.0
475,Slovenia,2017,69.7,0.0
476,Spain,2017,43.5,59.29
477,Sweden,2017,58.0,95.0
478,Turkey,2017,58.229,
479,United Kingdom,2017,60.0,
480,Austria,2018,51.37,
481,Belgium,2018,72.25,
482,Bulgaria,2018,51.4,
483,Croatia,2018,60.0,65.0
484,Cyprus,2018,63.65,
485,Czechia,2018,32.8,76.7
486,Denmark,2018,61.0,91.0
487,Estonia,2018,52.0,
488,Finland,2018,55.0,
489,France,2018,66.6,
490,Germany,2018,77.0,70.3
491,Greece,2018,67.1,85.0
492,Hungary,2018,57.5,72.9
493,Ireland,2018,,70.0
494,Italy,2018,68.0,81.3
495,Latvia,2018,54.59,
496,Lithuania,2018,44.1,60.0
497,Luxembourg,2018,52.7,
498,Malta,2018,,64.0
499,Netherlands,2018,65.4,49.3
500,Norway,2018,61.0,
501,Poland,2018,,
502,Portugal,2018,50.1,45.68
503,Romania,2018,39.3,
504,Slovakia,2018,55.4,
505,Slovenia,2018,59.1,
506,Spain,2018,43.5,59.21
507,Sweden,2018,57.0,89.0
508,Turkey,2018,62.55,
509,United Kingdom,2018,63.0,
